time,global radiation,wind speed,air temperature,sky temperature,??,CO2 concentration,day number,RH
25197300.0,128.0,3.5,10.3,5.7361215369950855,0.0,400.0,291.6354166666667,58.4
25197600.0,127.0,3.5,10.3,5.90871451026851,0.0,400.0,291.6388888888889,57.8
25197900.0,142.0,3.5,10.3,6.0809878391435745,0.0,400.0,291.6423611111111,57.4
25198200.0,161.0,3.5,10.3,6.2480343066054616,0.0,400.0,291.6458333333333,57.3
25198500.0,159.0,3.5,10.4,6.525264850929091,0.0,400.0,291.64930555555554,58.0
25198800.0,134.0,3.5,10.3,6.591013128890324,0.0,400.0,291.65277777777777,57.3
25199100.0,92.0,3.0,10.2,6.656922588473947,0.0,400.0,291.65625,57.0
25199400.0,83.0,3.0,10.2,6.822999017548113,0.0,400.0,291.65972222222223,56.1
25199700.0,89.0,3.0,10.2,6.993651901578119,0.0,400.0,291.66319444444446,55.6
25200000.0,93.0,3.0,10.1,7.058009991563438,0.0,400.0,291.6666666666667,55.3
25200300.0,102.0,3.0,10.1,7.058009991563438,0.0,400.0,291.6701388888889,54.9
25200600.0,87.0,3.0,10.3,7.266763435846656,0.0,400.0,291.6736111111111,53.4
25200900.0,99.0,3.0,10.1,7.058009991563438,0.0,400.0,291.6770833333333,54.4
25201200.0,110.0,3.0,10.1,7.058009991563438,0.0,400.0,291.68055555555554,55.8
25201500.0,123.0,3.0,10.2,7.162399082726438,0.0,400.0,291.68402777777777,57.9
25201800.0,114.0,2.5,10.1,7.058009991563438,0.0,400.0,291.6875,58.1
25202100.0,119.0,2.5,10.2,7.162399082726438,0.0,400.0,291.69097222222223,55.3
25202400.0,99.0,2.5,10.2,7.162399082726438,0.0,400.0,291.69444444444446,56.7
25202700.0,76.0,2.5,10.1,7.058009991563438,0.0,400.0,291.6979166666667,55.9
25203000.0,72.0,2.5,10.1,7.058009991563438,0.0,400.0,291.7013888888889,54.6
25203300.0,76.0,2.5,10.2,7.162399082726438,0.0,400.0,291.7048611111111,54.6
25203600.0,76.0,2.5,10.1,7.058009991563438,0.0,400.0,291.7083333333333,55.0
25203900.0,67.0,2.5,10.0,6.953596101359665,0.0,400.0,291.71180555555554,56.1
25204200.0,58.0,2.0,10.1,7.058009991563438,0.0,400.0,291.71527777777777,56.3
25204500.0,45.0,1.8,10.1,7.058009991563438,0.0,400.0,291.71875,56.6
25204800.0,36.0,1.5,10.0,6.953596101359665,0.0,400.0,291.72222222222223,56.4
25205100.0,31.0,1.2,9.9,6.849157350938981,0.0,400.0,291.72569444444446,57.0
25205400.0,38.0,0.9,10.0,6.953596101359665,0.0,400.0,291.7291666666667,57.5
25205700.0,43.0,0.4,9.9,6.849157350938981,0.0,400.0,291.7326388888889,58.0
25206000.0,55.0,0.0,10.0,6.953596101359665,0.0,400.0,291.7361111111111,58.5
25206300.0,56.0,0.0,10.0,6.953596101359665,0.0,400.0,291.7395833333333,58.2
25206600.0,52.0,0.0,9.9,6.849157350938981,0.0,400.0,291.74305555555554,58.6
25206900.0,50.0,0.0,10.0,6.953596101359665,0.0,400.0,291.74652777777777,59.1
25207200.0,46.0,0.0,10.1,7.058009991563438,0.0,400.0,291.75,59.9
25207500.0,45.0,0.0,10.0,6.953596101359665,0.0,400.0,291.75347222222223,59.4
25207800.0,38.0,0.0,9.9,6.849157350938981,0.0,400.0,291.75694444444446,59.1
25208100.0,28.0,0.0,9.9,6.849157350938981,0.0,400.0,291.7604166666667,59.5
