co2_air,temp_air,rh_air,pipe_temp,24CanTemp,cFruit,tSum,uBoil,uCo2,uThScr,uVent,uLamp,uBlScr,glob_rad,temp_out,rh_out,co2_out,wind_speed,timestep,day of year sin,day of year cos,hour of day sin,hour of day cos,Rewards,EPI,Revenue,Heat costs,CO2 costs,Elec costs,temp_violation,co2_violation,rh_violation,episode
407.27028568357633,15.10603637890696,97.69350859602505,17.39658995689288,20.452297973035677,55335.85988088102,3097.965598277975,0.09996836585110824,1.9414726909472435e-09,0.09641358545160919,0.09980682897283844,3.927353026123015e-10,0.09966707063216701,15.000000510658635,12.400000074335061,83.09999943378449,400.0000000000002,2.05511638817768e-08,-6.120893340266775e-05,0.849911594666005,0.5269253122100203,0.06540312856645782,0.9978589647152026,-0.21655574004995826,-0.0003437814831450814,-5.13740116447443e-05,0.0002924074715003371,0.0,0.0,0.0,0.0,12.69350882951339,0.0
408.7012301165787,14.293203320729884,96.57190902993685,19.003125606486186,20.392039434224746,55333.87607803788,3098.1180924269647,0.1999211189892861,1.9414726909472435e-09,0.1821917075642057,0.19961243220513292,3.927353026123015e-10,0.19852195163696648,15.000000510658635,12.300000228971843,82.80000043537137,400.0000000000002,2.05511638817768e-08,1.0000349304946212,0.8500060624138771,0.526772897185044,0.13052618790353146,0.991444889331445,-0.20328877354826635,-0.0006323734862452839,-4.7604199471184985e-05,0.0005847692867740989,0.0,0.0,0.7067965390972084,0.0,11.571909030975306,0.0
409.6087716866059,13.827403966030023,95.26939469349674,21.23703216344412,20.325548920146304,55332.026400229726,3098.263690797283,0.299796953797963,1.9414726909472435e-09,0.20309003934283357,0.2993461667683846,3.927353026123015e-10,0.29685200065871564,15.000000510658635,12.199999703268146,82.59999946440189,400.0000000000002,2.05511638817768e-08,1.9999325987701013,0.8501005107837498,0.5266204821600678,0.19509032077155122,0.9807853089151394,-0.1619119523941659,-0.0009213177231026929,-4.441163324547232e-05,0.0008769060898572206,0.0,0.0,1.1725961023264908,0.0,10.26939500073317,0.0
409.997115518964,13.59190246525695,94.08506398152451,24.00264169824088,20.255627354478687,55330.28901314855,3098.405129214164,0.3995370037785826,1.9414726909472435e-09,0.14778199798040373,0.39902236150186626,3.927353026123015e-10,0.3946491783597473,15.000000510658635,12.099999857904928,82.40000095147352,400.0000000000002,2.05511638817768e-08,3.000028738198125,0.8501949203976232,0.5264680325110513,0.2588190534532538,0.9659258305476107,-0.11306358898443525,-0.0012103173108860502,-4.1671572634542826e-05,0.0011686457382515073,0.0,0.0,1.4080975595968397,0.0,9.085064553175883,0.0
410.0103407401181,13.520644533762521,92.94533010886835,27.205988783518265,20.184324315201355,55328.654559233764,3098.5444314387387,0.49911803907181074,1.9414726909472435e-09,0.07028564040198557,0.49860788797953043,3.927353026123015e-10,0.49291483596387287,15.000000510658635,11.999885035000691,83.0002300041618,400.0000000001296,2.05511638817768e-08,3.9999264064731506,0.8502893106334972,0.526315582862035,0.3214394680448613,0.9469301018192477,-0.05623121060560776,-0.001499166514603479,-3.924623305915156e-05,0.0014599202815443275,0.0,0.0,1.4793554715890984,0.0,7.945329878177645,0.0
409.8628781208399,13.5769346843781,91.65752018646793,30.757732917355916,20.113127405421995,55327.10744255106,3098.6831340303856,0.5985038355011285,1.9414726909472435e-09,-5.324899549075113e-09,0.598107497539726,3.927353026123015e-10,0.5915411870896343,15.000000510658635,11.90000016717849,84.10071712054666,400.0000000000002,2.05511638817768e-08,5.0000225459011745,0.8503836718023718,0.5261630985889784,0.38268345094170486,0.9238795579251708,0.018988540856481495,-0.0017877650231115985,-3.71413042761851e-05,0.0017506237188354135,0.0,0.0,1.4230653547036471,0.0,6.657520096705255,0.0
409.8960802388522,13.788310584110928,90.27056342560815,34.5822483222789,20.043504025283614,55325.632067166145,3098.8226611173086,0.6977562715195706,1.9414726909472435e-09,-5.324899549075113e-09,0.6974714250574127,3.927353026123015e-10,0.6904101733094525,15.000000510658635,11.90000016717849,84.90000079838647,400.0000000000002,2.05511638817768e-08,5.9999202141762,0.8504780135932468,0.5260106143159217,0.4422887042696162,0.8968727472536772,0.11115973855462502,-0.0020763115926925673,-3.537455213262001e-05,0.0020409370405599474,0.0,0.0,1.2116893492417589,0.0,5.270563348337646,0.0
410.4257244467904,14.157470366168734,88.92844706761613,38.61347786282194,19.97702310122005,55324.21283714472,3098.964624213001,0.7967677062240729,1.9414726909472435e-09,-5.324899549075113e-09,0.7966758413548765,3.927353026123015e-10,0.7893148193751917,15.000000510658635,11.899998806497532,85.99999876459529,400.00000000059396,2.05511638817768e-08,7.000016353604678,0.8505723166281227,0.5258580954188249,0.5000000101741667,0.866025415687686,0.2108739618888535,-0.002364587760105904,-3.404226893949089e-05,0.002330545491166413,0.0,0.0,0.8425295031377456,0.0,3.928447253125441,0.0
412.3140068766863,14.727613711468207,87.0433887238018,42.80253535232232,19.915379636394047,55322.82479899189,3099.1107472621316,0.8956174365703151,1.9414726909472435e-09,-5.324899549075113e-09,0.8956541505327482,3.927353026123015e-10,0.8881506641595721,15.000000510658635,11.699999796111575,85.80000762579017,400.0000000000002,2.05511638817768e-08,7.999914021879704,0.8506666002849991,0.525705576521728,0.5555702422520592,0.8314695792888516,0.3601761576396537,-0.0026530069021517993,-3.332595452765235e-05,0.002619680947624147,0.0,0.0,0.2723861281071649,0.0,2.043388189282666,0.0
418.99626484164025,16.201016247241483,84.93351533854481,47.16694919541285,19.863792900502137,55321.442999212784,3099.2663145298766,0.9939339974371582,1.9414726909472435e-09,-5.324899549075113e-09,0.9941547631459793,3.927353026123015e-10,0.9872130812350098,15.000000510658635,11.699997755090138,87.00000116140157,400.00000000098345,2.05511638817768e-08,9.000010161307728,0.8507608548748762,0.5255530230005909,0.6087614191254933,0.7933533556946747,0.5002319680202131,-0.0029404466700157497,-3.318974751740461e-05,0.002907256922498345,0.0,0.0,0.0,0.0,0.0,0.0
